Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
172,V51,146.437500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
173,V52,146.450000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
174,V53,146.462500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
175,V54,146.475000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
176,V55,146.487500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
177,V56,146.500000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
178,V57,146.512500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
179,V58,146.525000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
180,V59,146.537500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
181,V60,146.550000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
182,V61,146.562500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
183,V62,146.575000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
184,V63,146.587500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
185,V64,147.435000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
186,V65,147.465000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
187,V66,147.495000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
188,V67,147.525000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
189,V68,147.555000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
190,V69,147.585000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
191,PMR CH1,446.006250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
192,PMR CH2,446.018750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
193,PMR CH3,446.031250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
194,PMR CH4,446.043750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
195,PMR CH5,446.056250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
196,PMR CH6,446.068750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
197,PMR CH7,446.081250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
198,PMR CH8,446.093750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
199,PMR CH9,446.106250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
200,PMR CH10,446.118750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
201,PMR CH11,446.131250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
202,PMR CH12,446.143750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
203,PMR CH13,446.156250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
204,PMR CH14,446.168750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
205,PMR CH15,446.181250,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
206,PMR CH16,446.193750,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
